Material;Dt.Saída;Nº Pedido;Requisitante / Destino;Unidade;Quantidade;Status
Álcool;2020-05-14;315516;Alagoas;Litro;258,00;Entregue
Álcool;2020-03-19;308762;Amapá;Litro;9,60;Entregue
Álcool;2020-03-19;308762;Amapá;Litro;42,00;Entregue
Álcool;2020-03-19;308727;Amapá;Litro;12,00;Entregue
Álcool;2020-03-24;309467;Amapá;Litro;48,00;Entregue
Álcool;2020-03-28;309985;Amapá;Litro;19,20;Entregue
Álcool;2020-03-28;309985;Amapá;Litro;12,00;Entregue
Álcool;2020-03-31;310593;Amapá;Litro;66,00;Entregue
Álcool;2020-04-10;311344;Amapá;Litro;8,40;Entregue
Álcool;2020-04-15;311875;Amapá;Litro;5,00;Entregue
Álcool;2020-04-15;311875;Amapá;Litro;4,00;Entregue
Álcool;2020-04-15;311875;Amapá;Litro;139,50;Entregue
Álcool;2020-04-23;312974;Amapá;Litro;726,00;Entregue
Álcool;2020-04-30;314001;Amapá;Litro;972,00;Entregue
Álcool;2020-05-14;315518;Amapá;Litro;90,00;Entregue
Álcool;2020-05-28;316928;Amapá;Litro;180,00;Entregue
Álcool;2020-03-19;308757;Amazonas;Litro;38,40;Entregue
Álcool;2020-03-19;308757;Amazonas;Litro;198,00;Entregue
Álcool;2020-03-25;309484;Amazonas;Litro;38,40;Entregue
Álcool;2020-03-25;309484;Amazonas;Litro;198,00;Entregue
Álcool;2020-03-28;309984;Amazonas;Litro;105,60;Entregue
Álcool;2020-03-28;309984;Amazonas;Litro;72,00;Entregue
Álcool;2020-03-31;310594;Amazonas;Litro;336,00;Entregue
Álcool;2020-04-10;311345;Amazonas;Litro;54,60;Entregue
Álcool;2020-04-15;311876;Amazonas;Litro;15,00;Entregue
Álcool;2020-04-15;311876;Amazonas;Litro;16,00;Entregue
Álcool;2020-04-15;311876;Amazonas;Litro;633,50;Entregue
Álcool;2020-04-23;312975;Amazonas;Litro;3300,00;Entregue
Álcool;2020-04-29;313900;Amazonas;Litro;10002,00;Entregue
Álcool;2020-04-30;314002;Amazonas;Litro;4499,00;Entregue
Álcool;2020-05-14;315517;Amazonas;Litro;414,00;Entregue
Álcool;2020-03-19;308766;Bahia;Litro;144,00;Entregue
Álcool;2020-03-19;308766;Bahia;Litro;708,00;Entregue
Álcool;2020-03-19;308729;Bahia;Litro;12,00;Entregue
Álcool;2020-03-25;309489;Bahia;Litro;134,40;Entregue
Álcool;2020-03-25;309489;Bahia;Litro;678,00;Entregue
Álcool;2020-03-28;309986;Bahia;Litro;384,00;Entregue
Álcool;2020-03-28;309986;Bahia;Litro;246,00;Entregue
Álcool;2020-03-31;310596;Bahia;Litro;1188,00;Entregue
Álcool;2020-04-10;311346;Bahia;Litro;189,00;Entregue
Álcool;2020-04-15;311877;Bahia;Litro;60,00;Entregue
Álcool;2020-04-15;311877;Bahia;Litro;55,00;Entregue
Álcool;2020-04-15;311877;Bahia;Litro;2152,50;Entregue
Álcool;2020-04-23;312976;Bahia;Litro;11232,00;Entregue
Álcool;2020-04-30;314003;Bahia;Litro;15024,00;Entregue
Álcool;2020-05-14;315519;Bahia;Litro;1296,00;Entregue
Álcool;2020-03-19;308770;Ceará;Litro;86,40;Entregue
Álcool;2020-03-19;308770;Ceará;Litro;432,00;Entregue
Álcool;2020-03-19;308730;Ceará;Litro;12,00;Entregue
Álcool;2020-03-25;309490;Ceará;Litro;86,40;Entregue
Álcool;2020-03-25;309490;Ceará;Litro;420,00;Entregue
Álcool;2020-03-28;309987;Ceará;Litro;240,00;Entregue
Álcool;2020-03-28;309987;Ceará;Litro;162,00;Entregue
Álcool;2020-03-31;310597;Ceará;Litro;732,00;Entregue
Álcool;2020-04-10;311347;Ceará;Litro;105,00;Entregue
Álcool;2020-04-15;311878;Ceará;Litro;30,00;Entregue
Álcool;2020-04-15;311878;Ceará;Litro;30,00;Entregue
Álcool;2020-04-15;311878;Ceará;Litro;1193,00;Entregue
Álcool;2020-04-23;312977;Ceará;Litro;6222,00;Entregue
Álcool;2020-04-30;314004;Ceará;Litro;8322,00;Entregue
Álcool;2020-05-14;315520;Ceará;Litro;660,00;Entregue
Álcool;2020-03-19;308497;Distrito Federal;Litro;28,80;Entregue
Álcool;2020-03-19;308497;Distrito Federal;Litro;144,00;Entregue
Álcool;2020-03-25;309523;Distrito Federal;Litro;19,20;Entregue
Álcool;2020-03-25;309523;Distrito Federal;Litro;144,00;Entregue
Álcool;2020-03-28;309988;Distrito Federal;Litro;76,80;Entregue
Álcool;2020-03-28;309988;Distrito Federal;Litro;54,00;Entregue
Álcool;2020-04-10;311349;Distrito Federal;Litro;46,20;Entregue
Álcool;2020-04-15;311879;Distrito Federal;Litro;15,00;Entregue
Álcool;2020-04-15;311879;Distrito Federal;Litro;14,00;Entregue
Álcool;2020-04-15;311879;Distrito Federal;Litro;553,50;Entregue
Álcool;2020-04-23;312978;Distrito Federal;Litro;2886,00;Entregue
Álcool;2020-04-30;314005;Distrito Federal;Litro;149,00;Entregue
Álcool;2020-04-30;314005;Distrito Federal;Litro;3715,00;Entregue
Álcool;2020-05-14;315562;Distrito Federal;Litro;300,00;Entregue
Álcool;2020-03-19;308776;Espírito Santo;Litro;38,40;Entregue
Álcool;2020-03-19;308776;Espírito Santo;Litro;60,00;Entregue
Álcool;2020-03-19;308776;Espírito Santo;Litro;132,00;Entregue
Álcool;2020-03-19;308506;Espírito Santo;Litro;12,00;Entregue
Álcool;2020-03-25;309527;Espírito Santo;Litro;28,80;Entregue
Álcool;2020-03-25;309527;Espírito Santo;Litro;192,00;Entregue
Álcool;2020-03-28;309989;Espírito Santo;Litro;105,60;Entregue
Álcool;2020-03-28;309989;Espírito Santo;Litro;72,00;Entregue
Álcool;2020-03-31;310599;Espírito Santo;Litro;324,00;Entregue
Álcool;2020-04-10;311353;Espírito Santo;Litro;54,60;Entregue
Álcool;2020-04-15;311880;Espírito Santo;Litro;15,00;Entregue
Álcool;2020-04-15;311880;Espírito Santo;Litro;16,00;Entregue
Álcool;2020-04-15;311880;Espírito Santo;Litro;640,00;Entregue
Álcool;2020-04-23;312979;Espírito Santo;Litro;3336,00;Entregue
Álcool;2020-04-30;314006;Espírito Santo;Litro;4464,00;Entregue
Álcool;2020-05-14;315563;Espírito Santo;Litro;354,00;Entregue
Álcool;2020-03-19;308781;Goiás;Litro;67,20;Entregue
Álcool;2020-03-19;308781;Goiás;Litro;336,00;Entregue
Álcool;2020-03-19;308509;Goiás;Litro;12,00;Entregue
Álcool;2020-03-25;309524;Goiás;Litro;57,60;Entregue
Álcool;2020-03-25;309524;Goiás;Litro;324,00;Entregue
Álcool;2020-03-28;309990;Goiás;Litro;182,40;Entregue
Álcool;2020-03-28;309990;Goiás;Litro;126,00;Entregue
Álcool;2020-03-31;310600;Goiás;Litro;564,00;Entregue
Álcool;2020-04-10;311354;Goiás;Litro;79,80;Entregue
Álcool;2020-04-15;311881;Goiás;Litro;25,00;Entregue
Álcool;2020-04-15;311881;Goiás;Litro;23,00;Entregue
Álcool;2020-04-15;311881;Goiás;Litro;911,50;Entregue
Álcool;2020-04-23;312980;Goiás;Litro;4752,00;Entregue
Álcool;2020-04-30;314007;Goiás;Litro;6360,00;Entregue
Álcool;2020-05-14;315564;Goiás;Litro;588,00;Entregue
Álcool;2020-03-19;308785;Maranhão;Litro;67,20;Entregue
Álcool;2020-03-19;308785;Maranhão;Litro;336,00;Entregue
Álcool;2020-03-19;308732;Maranhão;Litro;12,00;Entregue
Álcool;2020-03-25;309491;Maranhão;Litro;67,20;Entregue
Álcool;2020-03-25;309491;Maranhão;Litro;324,00;Entregue
Álcool;2020-03-28;309991;Maranhão;Litro;182,40;Entregue
Álcool;2020-03-28;309991;Maranhão;Litro;126,00;Entregue
Álcool;2020-03-31;310601;Maranhão;Litro;570,00;Entregue
Álcool;2020-04-10;311356;Maranhão;Litro;88,20;Entregue
Álcool;2020-04-15;311882;Maranhão;Litro;15,00;Entregue
Álcool;2020-04-15;311882;Maranhão;Litro;10,00;Entregue
Álcool;2020-04-15;311882;Maranhão;Litro;25,00;Entregue
Álcool;2020-04-15;311882;Maranhão;Litro;988,00;Entregue
Álcool;2020-04-23;312981;Maranhão;Litro;5154,00;Entregue
Álcool;2020-04-30;314008;Maranhão;Litro;6894,00;Entregue
Álcool;2020-05-14;315565;Maranhão;Litro;648,00;Entregue
Álcool;2020-03-19;308799;Mato Grosso;Litro;28,80;Entregue
Álcool;2020-03-19;308799;Mato Grosso;Litro;168,00;Entregue
Álcool;2020-03-19;308522;Mato Grosso;Litro;12,00;Entregue
Álcool;2020-03-25;309526;Mato Grosso;Litro;28,80;Entregue
Álcool;2020-03-25;309526;Mato Grosso;Litro;168,00;Entregue
Álcool;2020-03-28;309994;Mato Grosso;Litro;86,40;Entregue
Álcool;2020-03-28;309994;Mato Grosso;Litro;60,00;Entregue
Álcool;2020-03-31;310602;Mato Grosso;Litro;282,00;Entregue
Álcool;2020-04-10;311358;Mato Grosso;Litro;42,00;Entregue
Álcool;2020-04-15;311883;Mato Grosso;Litro;15,00;Entregue
Álcool;2020-04-15;311883;Mato Grosso;Litro;13,00;Entregue
Álcool;2020-04-15;311883;Mato Grosso;Litro;494,00;Entregue
Álcool;2020-04-23;312982;Mato Grosso;Litro;2574,00;Entregue
Álcool;2020-04-30;314009;Mato Grosso;Litro;3444,00;Entregue
Álcool;2020-05-14;315568;Mato Grosso;Litro;300,00;Entregue
Álcool;2020-03-19;308797;Mato Grosso do Sul;Litro;28,80;Entregue
Álcool;2020-03-19;308797;Mato Grosso do Sul;Litro;72,00;Entregue
Álcool;2020-03-19;308797;Mato Grosso do Sul;Litro;60,00;Entregue
Álcool;2020-03-19;308515;Mato Grosso do Sul;Litro;12,00;Entregue
Álcool;2020-03-25;309525;Mato Grosso do Sul;Litro;19,20;Entregue
Álcool;2020-03-25;309525;Mato Grosso do Sul;Litro;132,00;Entregue
Álcool;2020-03-28;309993;Mato Grosso do Sul;Litro;76,80;Entregue
Álcool;2020-03-28;309993;Mato Grosso do Sul;Litro;48,00;Entregue
Álcool;2020-03-31;310603;Mato Grosso do Sul;Litro;222,00;Entregue
Álcool;2020-04-10;311360;Mato Grosso do Sul;Litro;46,20;Entregue
Álcool;2020-04-15;311884;Mato Grosso do Sul;Litro;15,00;Entregue
Álcool;2020-04-15;311884;Mato Grosso do Sul;Litro;14,00;Entregue
Álcool;2020-04-15;311884;Mato Grosso do Sul;Litro;530,00;Entregue
Álcool;2020-04-23;312983;Mato Grosso do Sul;Litro;2760,00;Entregue
Álcool;2020-04-30;314010;Mato Grosso do Sul;Litro;3696,00;Entregue
Álcool;2020-05-14;315567;Mato Grosso do Sul;Litro;294,00;Entregue
Álcool;2020-03-19;308790;Minas Gerais;Litro;201,60;Entregue
Álcool;2020-03-19;308790;Minas Gerais;Litro;1008,00;Entregue
Álcool;2020-03-19;308529;Minas Gerais;Litro;12,00;Entregue
Álcool;2020-03-25;309528;Minas Gerais;Litro;192,00;Entregue
Álcool;2020-03-25;309528;Minas Gerais;Litro;966,00;Entregue
Álcool;2020-03-28;309992;Minas Gerais;Litro;547,20;Entregue
Álcool;2020-03-28;309992;Minas Gerais;Litro;372,00;Entregue
Álcool;2020-03-31;310604;Minas Gerais;Litro;1752,00;Entregue
Álcool;2020-04-10;311361;Minas Gerais;Litro;327,60;Entregue
Álcool;2020-04-15;311885;Minas Gerais;Litro;100,00;Entregue
Álcool;2020-04-15;311885;Minas Gerais;Litro;94,00;Entregue
Álcool;2020-04-15;311885;Minas Gerais;Litro;3669,00;Entregue
Álcool;2020-04-23;312984;Minas Gerais;Litro;19146,00;Entregue
Álcool;2020-04-30;314011;Minas Gerais;Litro;3684,00;Entregue
Álcool;2020-04-30;314011;Minas Gerais;Litro;21924,00;Entregue
Álcool;2020-05-14;315566;Minas Gerais;Litro;1944,00;Entregue
Álcool;2020-03-19;308751;Outros Órgãos Federais;Litro;12,00;Entregue
Álcool;2020-03-19;308740;Outros Órgãos Federais;Litro;12,00;Entregue
Álcool;2020-03-20;309135;Outros Órgãos Federais;Litro;18,00;Entregue
Álcool;2020-03-20;309109;Outros Órgãos Federais;Litro;12,00;Entregue
Álcool;2020-03-20;309107;Outros Órgãos Federais;Litro;12,00;Entregue
Álcool;2020-03-20;309099;Outros Órgãos Federais;Litro;30,00;Entregue
Álcool;2020-03-20;309092;Outros Órgãos Federais;Litro;30,00;Entregue
Álcool;2020-03-20;309104;Outros Órgãos Federais;Litro;60,00;Entregue
Álcool;2020-03-20;309144;Outros Órgãos Federais;Litro;12,00;Entregue
Álcool;2020-03-20;309141;Outros Órgãos Federais;Litro;12,00;Entregue
Álcool;2020-03-20;309146;Outros Órgãos Federais;Litro;12,00;Entregue
Álcool;2020-03-20;309095;Outros Órgãos Federais;Litro;6,00;Entregue
Álcool;2020-03-23;309379;Outros Órgãos Federais;Litro;276,00;Entregue
Álcool;2020-03-23;309387;Outros Órgãos Federais;Litro;180,00;Entregue
Álcool;2020-03-23;309372;Outros Órgãos Federais;Litro;264,00;Entregue
Álcool;2020-03-23;309382;Outros Órgãos Federais;Litro;168,00;Entregue
Álcool;2020-03-23;309370;Outros Órgãos Federais;Litro;102,00;Entregue
Álcool;2020-03-23;309378;Outros Órgãos Federais;Litro;192,00;Entregue
Álcool;2020-03-23;309380;Outros Órgãos Federais;Litro;462,00;Entregue
Álcool;2020-03-23;309384;Outros Órgãos Federais;Litro;228,00;Entregue
Álcool;2020-03-23;309355;Outros Órgãos Federais;Litro;1746,00;Entregue
Álcool;2020-03-23;309360;Outros Órgãos Federais;Litro;120,00;Entregue
Álcool;2020-03-23;309400;Outros Órgãos Federais;Litro;264,00;Entregue
Álcool;2020-03-23;309373;Outros Órgãos Federais;Litro;276,00;Entregue
Álcool;2020-03-23;309374;Outros Órgãos Federais;Litro;444,00;Entregue
Álcool;2020-03-23;309376;Outros Órgãos Federais;Litro;168,00;Entregue
Álcool;2020-03-23;309377;Outros Órgãos Federais;Litro;144,00;Entregue
Álcool;2020-03-23;309381;Outros Órgãos Federais;Litro;246,00;Entregue
Álcool;2020-03-23;309383;Outros Órgãos Federais;Litro;576,00;Entregue
Álcool;2020-03-23;309385;Outros Órgãos Federais;Litro;114,00;Entregue
Álcool;2020-03-23;309392;Outros Órgãos Federais;Litro;6,00;Entregue
Álcool;2020-03-23;309375;Outros Órgãos Federais;Litro;186,00;Entregue
Álcool;2020-03-23;309386;Outros Órgãos Federais;Litro;684,00;Entregue
Álcool;2020-03-23;309388;Outros Órgãos Federais;Litro;456,00;Entregue
Álcool;2020-03-23;309391;Outros Órgãos Federais;Litro;282,00;Entregue
Álcool;2020-03-23;309389;Outros Órgãos Federais;Litro;180,00;Entregue
Álcool;2020-03-23;309390;Outros Órgãos Federais;Litro;264,00;Entregue
Álcool;2020-03-23;309393;Outros Órgãos Federais;Litro;90,00;Entregue
Álcool;2020-03-23;309371;Outros Órgãos Federais;Litro;90,00;Entregue
Álcool;2020-03-24;309436;Outros Órgãos Federais;Litro;134,40;Entregue
Álcool;2020-03-24;309436;Outros Órgãos Federais;Litro;696,00;Entregue
Álcool;2020-03-26;309787;Outros Órgãos Federais;Litro;48,00;Entregue
Álcool;2020-03-27;309883;Outros Órgãos Federais;Litro;499,20;Entregue
Álcool;2020-03-28;310016;Outros Órgãos Federais;Litro;12,00;Entregue
Álcool;2020-03-28;310021;Outros Órgãos Federais;Litro;138,00;Entregue
Álcool;2020-03-31;310548;Outros Órgãos Federais;Litro;12,00;Entregue
Álcool;2020-03-31;310619;Outros Órgãos Federais;Litro;120,00;Entregue
Álcool;2020-03-31;310554;Outros Órgãos Federais;Litro;4,00;Entregue
Álcool;2020-04-10;311366;Outros Órgãos Federais;Litro;42,00;Entregue
Álcool;2020-04-14;311844;Outros Órgãos Federais;Litro;0,50;Entregue
Álcool;2020-04-15;311900;Outros Órgãos Federais;Litro;15,00;Entregue
Álcool;2020-04-15;311978;Outros Órgãos Federais;Litro;31,00;Entregue
Álcool;2020-04-15;311971;Outros Órgãos Federais;Litro;31,00;Entregue
Álcool;2020-04-15;311900;Outros Órgãos Federais;Litro;12,00;Entregue
Álcool;2020-04-15;311978;Outros Órgãos Federais;Litro;222,00;Entregue
Álcool;2020-04-15;311978;Outros Órgãos Federais;Litro;510,00;Entregue
Álcool;2020-04-15;311978;Outros Órgãos Federais;Litro;510,00;Entregue
Álcool;2020-04-15;311971;Outros Órgãos Federais;Litro;126,00;Entregue
Álcool;2020-04-15;311971;Outros Órgãos Federais;Litro;1020,00;Entregue
Álcool;2020-04-15;311971;Outros Órgãos Federais;Litro;90,00;Entregue
Álcool;2020-04-15;311900;Outros Órgãos Federais;Litro;420,00;Entregue
Álcool;2020-04-15;311900;Outros Órgãos Federais;Litro;66,00;Entregue
Álcool;2020-04-16;312229;Outros Órgãos Federais;Litro;0,50;Entregue
Álcool;2020-04-20;312463;Outros Órgãos Federais;Litro;40,00;Entregue
Álcool;2020-04-20;312398;Outros Órgãos Federais;Litro;1506,00;Entregue
Álcool;2020-04-20;312400;Outros Órgãos Federais;Litro;1104,00;Entregue
Álcool;2020-04-20;312402;Outros Órgãos Federais;Litro;108,00;Entregue
Álcool;2020-04-20;312402;Outros Órgãos Federais;Litro;6,00;Entregue
Álcool;2020-04-20;312402;Outros Órgãos Federais;Litro;594,00;Entregue
Álcool;2020-04-20;312403;Outros Órgãos Federais;Litro;498,00;Entregue
Álcool;2020-04-20;312226;Outros Órgãos Federais;Litro;468,00;Entregue
Álcool;2020-04-20;312226;Outros Órgãos Federais;Litro;156,00;Entregue
Álcool;2020-04-20;312226;Outros Órgãos Federais;Litro;12,00;Entregue
Álcool;2020-04-22;312960;Outros Órgãos Federais;Litro;0,50;Entregue
Álcool;2020-04-23;313106;Outros Órgãos Federais;Litro;12936,00;Entregue
Álcool;2020-04-23;313082;Outros Órgãos Federais;Litro;2550,00;Entregue
Álcool;2020-04-24;313233;Outros Órgãos Federais;Litro;18,00;Entregue
Álcool;2020-04-24;313246;Outros Órgãos Federais;Litro;12,00;Entregue
Álcool;2020-04-24;313239;Outros Órgãos Federais;Litro;6,00;Entregue
Álcool;2020-04-24;313235;Outros Órgãos Federais;Litro;6,00;Entregue
Álcool;2020-04-24;313230;Outros Órgãos Federais;Litro;6,00;Entregue
Álcool;2020-04-30;313962;Outros Órgãos Federais;Litro;0,50;Entregue
Álcool;2020-04-30;314048;Outros Órgãos Federais;Litro;0,50;Entregue
Álcool;2020-04-30;314048;Outros Órgãos Federais;Litro;720,00;Entregue
Álcool;2020-04-30;314048;Outros Órgãos Federais;Litro;2687,50;Entregue
Álcool;2020-05-04;314058;Outros Órgãos Federais;Litro;2322,00;Entregue
Álcool;2020-05-04;314058;Outros Órgãos Federais;Litro;2,00;Entregue
Álcool;2020-05-04;314058;Outros Órgãos Federais;Litro;54,50;Entregue
Álcool;2020-05-04;314058;Outros Órgãos Federais;Litro;2270,00;Entregue
Álcool;2020-05-04;314058;Outros Órgãos Federais;Litro;3984,00;Entregue
Álcool;2020-05-04;314058;Outros Órgãos Federais;Litro;20,00;Entregue
Álcool;2020-05-07;314578;Outros Órgãos Federais;Litro;180,00;Entregue
Álcool;2020-05-11;315011;Outros Órgãos Federais;Litro;100,00;Entregue
Álcool;2020-05-11;315011;Outros Órgãos Federais;Litro;32,00;Entregue
Álcool;2020-05-11;315011;Outros Órgãos Federais;Litro;58,80;Entregue
Álcool;2020-05-14;315511;Outros Órgãos Federais;Litro;150,00;Entregue
Álcool;2020-05-20;316245;Outros Órgãos Federais;Litro;6,00;Entregue
Álcool;2020-05-20;316244;Outros Órgãos Federais;Litro;6,00;Entregue
Álcool;2020-05-20;316239;Outros Órgãos Federais;Litro;6,00;Entregue
Álcool;2020-05-20;316254;Outros Órgãos Federais;Litro;6,00;Entregue
Álcool;2020-05-20;316221;Outros Órgãos Federais;Litro;12,00;Entregue
Álcool;2020-05-20;316257;Outros Órgãos Federais;Litro;6,00;Entregue
Álcool;2020-05-20;316227;Outros Órgãos Federais;Litro;6,00;Entregue
Álcool;2020-05-20;316237;Outros Órgãos Federais;Litro;6,00;Entregue
Álcool;2020-05-20;316279;Outros Órgãos Federais;Litro;6,00;Entregue
Álcool;2020-05-20;316280;Outros Órgãos Federais;Litro;6,00;Entregue
Álcool;2020-05-20;316212;Outros Órgãos Federais;Litro;6,00;Entregue
Álcool;2020-05-20;316200;Outros Órgãos Federais;Litro;6,00;Entregue
Álcool;2020-05-20;316222;Outros Órgãos Federais;Litro;6,00;Entregue
Álcool;2020-05-20;316223;Outros Órgãos Federais;Litro;6,00;Entregue
Álcool;2020-05-20;316202;Outros Órgãos Federais;Litro;6,00;Entregue
Álcool;2020-05-20;316225;Outros Órgãos Federais;Litro;6,00;Entregue
Álcool;2020-05-20;316247;Outros Órgãos Federais;Litro;6,00;Entregue
Álcool;2020-05-20;316231;Outros Órgãos Federais;Litro;6,00;Entregue
Álcool;2020-05-20;316234;Outros Órgãos Federais;Litro;6,00;Entregue
Álcool;2020-05-20;316250;Outros Órgãos Federais;Litro;6,00;Entregue
Álcool;2020-05-22;316420;Outros Órgãos Federais;Litro;6,00;Entregue
Álcool;2020-05-31;316981;Outros Órgãos Federais;Litro;420,00;Entregue
Álcool;2020-06-04;317787;Outros Órgãos Federais;Litro;192,00;Entregue
Álcool;2020-06-04;317789;Outros Órgãos Federais;Litro;12,00;Entregue
Álcool;2020-06-04;317790;Outros Órgãos Federais;Litro;12,00;Entregue
Álcool;2020-06-04;317791;Outros Órgãos Federais;Litro;30,00;Entregue
Álcool;2020-06-04;317792;Outros Órgãos Federais;Litro;150,00;Entregue
Álcool;2020-06-10;318138;Outros Órgãos Federais;Litro;6,00;Entregue
Álcool;2020-06-10;318145;Outros Órgãos Federais;Litro;66,00;Entregue
Álcool;2020-06-10;318151;Outros Órgãos Federais;Litro;6,00;Entregue
Álcool;2020-06-10;318154;Outros Órgãos Federais;Litro;168,00;Entregue
Álcool;2020-03-19;308803;Pará;Litro;86,40;Entregue
Álcool;2020-03-19;308803;Pará;Litro;408,00;Entregue
Álcool;2020-03-19;308502;Pará;Litro;12,00;Entregue
Álcool;2020-03-24;309464;Pará;Litro;76,80;Entregue
Álcool;2020-03-24;309464;Pará;Litro;396,00;Entregue
Álcool;2020-03-28;309995;Pará;Litro;220,80;Entregue
Álcool;2020-03-28;309995;Pará;Litro;150,00;Entregue
Álcool;2020-03-31;310605;Pará;Litro;690,00;Entregue
Álcool;2020-04-10;311362;Pará;Litro;79,80;Entregue
Álcool;2020-04-15;311886;Pará;Litro;25,00;Entregue
Álcool;2020-04-15;311886;Pará;Litro;24,00;Entregue
Álcool;2020-04-15;311886;Pará;Litro;929,00;Entregue
Álcool;2020-04-23;312985;Pará;Litro;1596,00;Entregue
Álcool;2020-04-23;312985;Pará;Litro;468,00;Entregue
Álcool;2020-04-23;312985;Pará;Litro;2784,00;Entregue
Álcool;2020-04-30;314012;Pará;Litro;6486,00;Entregue
Álcool;2020-05-14;315521;Pará;Litro;606,00;Entregue
Álcool;2020-03-19;308810;Paraíba;Litro;38,40;Entregue
Álcool;2020-03-19;308810;Paraíba;Litro;192,00;Entregue
Álcool;2020-03-19;308507;Paraíba;Litro;12,00;Entregue
Álcool;2020-03-25;309492;Paraíba;Litro;28,80;Entregue
Álcool;2020-03-25;309492;Paraíba;Litro;192,00;Entregue
Álcool;2020-03-28;309996;Paraíba;Litro;105,60;Entregue
Álcool;2020-03-28;309996;Paraíba;Litro;72,00;Entregue
Álcool;2020-03-31;310606;Paraíba;Litro;324,00;Entregue
Álcool;2020-04-10;311316;Paraíba;Litro;54,60;Entregue
Álcool;2020-04-15;311887;Paraíba;Litro;15,00;Entregue
Álcool;2020-04-15;311887;Paraíba;Litro;16,00;Entregue
Álcool;2020-04-15;311887;Paraíba;Litro;623,50;Entregue
Álcool;2020-04-23;312986;Paraíba;Litro;228,00;Entregue
Álcool;2020-04-23;312986;Paraíba;Litro;1962,00;Entregue
Álcool;2020-04-23;312986;Paraíba;Litro;1062,00;Entregue
Álcool;2020-04-30;314013;Paraíba;Litro;4218,00;Entregue
Álcool;2020-04-30;314013;Paraíba;Litro;132,00;Entregue
Álcool;2020-05-14;315574;Paraíba;Litro;396,00;Entregue
Álcool;2020-03-19;308827;Paraná;Litro;28,80;Entregue
Álcool;2020-03-19;308827;Paraná;Litro;76,80;Entregue
Álcool;2020-03-19;308827;Paraná;Litro;5,00;Entregue
Álcool;2020-03-19;308827;Paraná;Litro;0,50;Entregue
Álcool;2020-03-19;308827;Paraná;Litro;0,50;Entregue
Álcool;2020-03-19;308827;Paraná;Litro;540,00;Entregue
Álcool;2020-03-19;308530;Paraná;Litro;12,00;Entregue
Álcool;2020-03-25;309532;Paraná;Litro;105,60;Entregue
Álcool;2020-03-25;309532;Paraná;Litro;528,00;Entregue
Álcool;2020-03-28;309999;Paraná;Litro;297,60;Entregue
Álcool;2020-03-28;309999;Paraná;Litro;204,00;Entregue
Álcool;2020-03-31;310607;Paraná;Litro;918,00;Entregue
Álcool;2020-04-10;311444;Paraná;Litro;163,80;Entregue
Álcool;2020-04-15;311888;Paraná;Litro;50,00;Entregue
Álcool;2020-04-15;311888;Paraná;Litro;47,00;Entregue
Álcool;2020-04-15;311888;Paraná;Litro;1855,00;Entregue
Álcool;2020-04-23;313071;Paraná;Litro;9678,00;Entregue
Álcool;2020-04-30;313995;Paraná;Litro;12948,00;Entregue
Álcool;2020-05-14;315581;Paraná;Litro;852,00;Entregue
Álcool;2020-03-19;308812;Pernambuco;Litro;86,40;Entregue
Álcool;2020-03-19;308812;Pernambuco;Litro;456,00;Entregue
Álcool;2020-03-19;308514;Pernambuco;Litro;12,00;Entregue
