DATA,FORNECEDOR,DESTINO,ESTADOMUNICIPIO,TIPO,QUANTIDADE,VALOR,DESTINATARIO,UF,DATADEENTREGA
10/07/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,3,144870,SÌO PEDRO DA ALDEIA - Secretaria Municipal de Saœde,RJ,15/07/2020
17/07/2020,VYAIRE,RIO DE JANEIRO,ESTADO,UTI,5,300000,RIO DE JANEIRO - Secretaria Estadual de Saœde  ,RJ,21/07/2020
17/07/2020,KTK,RIO DE JANEIRO,ESTADO,TRANSPORTE,8,160000,RIO DE JANEIRO - Secretaria Estadual de Saœde  ,RJ,21/07/2020
17/07/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,2,120000,ARARUAMA -  Secretaria Municipal de Saœde ,RJ,22/07/2020
17/07/2020,KTK,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,10,200000,ARARUAMA -  Secretaria Municipal de Saœde ,RJ,22/07/2020
17/07/2020,KTK,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,8,160000,CARAPEBUS -  Secretaria Municipal de Saœde ,RJ,22/07/2020
17/07/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,5,300000,NOVA IGUACU -  Secretaria Municipal de Saœde ,RJ,21/07/2020
17/07/2020,KTK,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,5,100000,NOVA IGUACU -  Secretaria Municipal de Saœde ,RJ,21/07/2020
24/07/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,6,360000,CAMPOS DOS GOYTACAZES - Secretaria Municipal de Saœde ,RJ,31/07/2020
24/07/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,2,120000,CAMPOS DOS GOYTACAZES - Secretaria Municipal de Saœde ,RJ,31/07/2020
24/07/2020,KTK,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,6,120000,CAMPOS DOS GOYTACAZES - Secretaria Municipal de Saœde ,RJ,31/07/2020
24/07/2020,KTK,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,5,100000,CAMPOS DOS GOYTACAZES - Secretaria Municipal de Saœde ,RJ,31/07/2020
24/07/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,1,60000,SÌO JOSE DO VALE DO RIO PRETO - Secretaria Municipal de Saœde ,RJ,31/07/2020
24/07/2020,KTK,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,5,100000,SÌO JOSE DO VALE DO RIO PRETO - Secretaria Municipal de Saœde ,RJ,31/07/2020
24/07/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,2,120000,TERESOPOLIS - Secretaria Municipal de Saœde ,RJ,31/07/2020
24/07/2020,KTK,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,2,40000,TERESOPOLIS - Secretaria Municipal de Saœde ,RJ,31/07/2020
10/08/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,2,96580,SMS de Campos dos Goytacazes ,RJ,13/08/2020
10/08/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,3,180000,SMS de Campos dos Goytacazes ,RJ,13/08/2020
14/08/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,3,144870,SMS de SANTO ANTONIO DE PADUA,RJ,17/08/2020
14/08/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,3,180000,SMS de SANTO ANTONIO DE PADUA,RJ,17/08/2020
14/08/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,2,96580,SMS de SAQUAREMA,RJ,17/08/2020
14/08/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,3,180000,SMS de SAQUAREMA,RJ,17/08/2020
14/08/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,3,144870,SMS de SAO FIDELIS,RJ,17/08/2020
14/08/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,3,180000,SMS de SAO FIDELIS,RJ,17/08/2020
14/08/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,2,96580,SMS de RIO BONITO,RJ,17/08/2020
14/08/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,3,180000,SMS de RIO BONITO,RJ,17/08/2020
14/08/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,5,241450,SMS de PORTO REAL,RJ,17/08/2020
14/08/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,5,300000,SMS de PORTO REAL,RJ,17/08/2020
21/08/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,3,144870,SMS de ITABORAI,RJ,24/08/2020
21/08/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,7,420000,SMS de ITABORAI,RJ,24/08/2020
21/08/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,2,96580,SMS de PORCIUNCULA,RJ,24/08/2020
21/08/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,1,60000,SMS de PORCIUNCULA,RJ,24/08/2020
21/08/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,2,96580,SMS de APERIBE,RJ,24/08/2020
21/08/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,2,120000,SMS de APERIBE,RJ,24/08/2020
21/08/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,2,96580,SMS de LAJE DO MURIAE,RJ,24/08/2020
21/08/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,2,120000,SMS de LAJE DO MURIAE,RJ,24/08/2020
27/08/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,UTI,6,360000,SMS de SAO JOAO DE MERITI,RJ,31/08/2020
03/09/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,UTI,3,180000,SMS de NATIVIDADE,RJ,06/09/2020
04/09/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,UTI,18,1080000,SMS de RIO DE JANEIRO,RJ,11/09/2020
04/09/2020,KTK,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,4,80000,SMS de RIO DE JANEIRO,RJ,11/09/2020
04/09/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,20,1200000,SMS de RIO DE JANEIRO,RJ,11/09/2020
04/09/2020,KTK,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,6,120000,SMS de RIO DE JANEIRO,RJ,11/09/2020
24/09/2020,VYAIRE LTV 2200 USA,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE USA,5,315629,SMS de AREAL,RJ,29/09/2020
24/09/2020,KTK,RIO DE JANEIRO,MUNICIPIO,UTI,6,360000,SMS de MIRACEMA,RJ,29/09/2020
22/05/2020,KTK,ALAGOAS,ESTADO,UTI,15,900000,Secretaria Estadual de Saœde,AL,24/05/2020
22/05/2020,MAGNAMED,ALAGOAS,ESTADO,TRANSPORTE,15,724350,Secretaria Estadual de Saœde,AL,24/05/2020
04/06/2020,VYAIRE,ALAGOAS,ESTADO,UTI,20,1200000,Secretaria Estadual de Saœde,AL,06/06/2020
04/06/2020,MAGNAMED,ALAGOAS,ESTADO,TRANSPORTE,17,820930,Secretaria Estadual de Saœde,AL,06/06/2020
04/06/2020,MAGNAMED,ALAGOAS,ESTADO,TRANSPORTE,3,144870,Secretaria Estadual de Saœde,AL,06/06/2020
16/06/2020,MAGNAMED,ALAGOAS,ESTADO,TRANSPORTE,50,2414500,Secretaria Estadual de Saœde,AL,18/06/2020
26/06/2020,VYAIRE,ALAGOAS,MUNICIPIO,UTI,1,60000,Secretaria Municipal de Saœde (BELO MONTE),AL,01/07/2020
26/06/2020,VYAIRE,ALAGOAS,MUNICIPIO,UTI,1,60000,Secretaria Municipal de Saœde (MAJOR IZIDORO),AL,30/06/2020
26/06/2020,VYAIRE,ALAGOAS,MUNICIPIO,UTI,1,60000,Secretaria Municipal de Saœde (MARAVILHA),AL,01/07/2020
26/06/2020,VYAIRE,ALAGOAS,MUNICIPIO,UTI,1,60000,Secretaria Municipal de Saœde (MARIBONDO) ,AL,30/06/2020
26/06/2020,VYAIRE,ALAGOAS,MUNICIPIO,UTI,1,60000,Secretaria Municipal de Saœde (PASSO DO CAMARAGIBE),AL,30/06/2020
26/06/2020,MAGNAMED,ALAGOAS,MUNICIPIO,TRANSPORTE,5,241450,Secretaria Municipal de Saœde (SANTANA DO IPANEMA),AL,01/07/2020
26/06/2020,VYAIRE,ALAGOAS,MUNICIPIO,UTI,5,300000,Secretaria Municipal de Saœde (SANTANA DO IPANEMA),AL,01/07/2020
01/07/2020,MAGNAMED,ALAGOAS,ESTADO,TRANSPORTE,10,482900,Secretaria Estadual de Saœde (Hospital da Mulher Dra. Nise da Silveira),AL ,03/07/2020
01/07/2020,VYAIRE,ALAGOAS,ESTADO,UTI,30,1800000,Secretaria Estadual de Saœde (Hospital da Mulher Dra. Nise da Silveira),AL ,03/07/2020
04/07/2020,VYAIRE,ALAGOAS,ESTADO ,UTI,10,600000,Secretaria Estadual de Saœde,AL,06/07/2020
17/07/2020,VYAIRE,ALAGOAS,ESTADO,UTI,7,420000,MACEIî - Secretaria Estadual de Saœde ,AL ,31/07/2020
17/07/2020,KTK,ALAGOAS,ESTADO,TRANSPORTE,13,260000,MACEIî - Secretaria Estadual de Saœde ,AL ,31/07/2020
17/07/2020,VYAIRE,ALAGOAS,MUNICIPIO,UTI,7,420000,ARAPIRACA - Secretaria Municipal de Saœde ,AL ,31/07/2020
17/07/2020,KTK,ALAGOAS,MUNICIPIO,TRANSPORTE,8,160000,ARAPIRACA - Secretaria Municipal de Saœde ,AL ,31/07/2020
24/07/2020,KTK,ALAGOAS,MUNICIPIO,TRANSPORTE,2,40000,PALMEIRA DOS INDIOS - Secretaria Municipal de Saœde ,AL ,07/08/2020
14/08/2020,MAGNAMED,ALAGOAS,MUNICIPIO,TRANSPORTE,2,96580,SMS DE  SAO JOSE DA TAPERA,AL ,18/08/2020
21/08/2020,MAGNAMED,ALAGOAS,MUNICIPIO,TRANSPORTE,1,48290,SECR MUN DE SAUDE DE DELMIRO GOUVEIAÊ AL,AL ,26/08/2020
